Total_Conc_M,nBA_mol%,Elp_mol%,BDDA_mol%,Gel,Elp_conv%,nBA_BDDA_conv%,Parent_Mw_kDa,Parent_D,Thiol_Mw_kDa,Thiol_D,SH_density_mmol_per_g
2,70,25,5,yes,,,,,,,
2,50,45,5,yes,,,,,,,
2,30,65,5,yes,,,,,,,
2,50,44,6,yes,,,,,,,
2,50,43,7,yes,,,,,,,
2,50,42,8,yes,,,,,,,
2,50,41,9,yes,,,,,,,
2,50,40,10,yes,,,,,,,
2,65,25,10,yes,,,,,,,
2,35,55,10,yes,,,,,,,
1,70,25,5,no,86,78,80,2.9,9.1,1.4,
1,50,45,5,no,80,79,89,2.6,4.1,1.7,
1,30,65,5,no,87,87,71,2,2.3,1.3,
1,50,44,6,no,80,79,98,2.8,4.5,1.6,
1,50,43,7,no,78,76,124,3.2,4.7,1.4,
1,50,42,8,no,90,84,150,3.8,5,1.3,
1,50,41,9,no,77,76,233,5.1,4.5,1.4,
1,50,40,10,no,75,72,138,3.6,4.9,1.4,
1,65,25,10,no,78,77,136,4.2,7.2,1.4,
1,35,55,10,no,76,78,151,3.4,4,1.2,
1.9,70,25,5,yes,,,,,,,
1.8,70,25,5,yes,,,,,,,
1.7,70,25,5,yes,,,,,,,
1.6,70,25,5,yes,,,,,,,
1.5,70,25,5,yes,,,,,,,
1.4,70,25,5,yes,,,,,,,
1.3,70,25,5,no,88,77,361,7.9,8.5,1.8,
1.2,70,25,5,no,98,88,210,5.4,TBD,TBD,
1.1,70,25,5,no,89,82,114,3.3,TBD,TBD,
1,70,25,5,no,92,86,79,2.9,8.5,1.9,
2,70,25,5,yes,,,,,,,
2,70.5,25,4.5,yes,,,,,,,
2,71,25,4,yes,,,,,,,
2,71.5,25,3.5,yes,,,,,,,
2,72,25,3,yes,,,,,,,
2,72.5,25,2.5,yes,,,,,,,
2,73,25,2,yes,,,,,,,
2,73.5,25,1.5,yes,,,,,,,
2,74,25,1,no,76,61,195,3.4,7,1.9,
2,74.5,25,0.5,no,83,68,123,2.4,TBD,TBD,
1,70,25,5,no,94,70,145,4.5,TBD,TBD,0.36
1,50,45,5,no,96,81,281,5.9,5.6,TBD,1
1,30,65,5,no,97,86,154,3.3,TBD,TBD,1.5
1,95,0,5,no,,,,,,,
1,90,5,5,no,,,,,,,
1,87.5,7.5,5,no,,,,,,,
1,85,10,5,no,,,,,,,
1,82.5,12.5,5,no,,,,,,,
1,80,15,5,no,,,,,,,
1,77.5,17.5,5,no,,,,,,,
1,75,20,5,no,,,,,,,
1,72.5,22.5,5,no,,,,,,,
1,70,25,5,no,,,,,,,
1,70,0,30,yes,,,,,,,
1,65,5,30,yes,,,,,,,
1,60,10,30,yes,,,,,,,
1,55,15,30,yes,,,,,,,
1,50,20,30,yes,,,,,,,
1,45,25,30,yes,,,,,,,
1,40,30,30,yes,,,,,,,
1,35,35,30,yes,,,,,,,
1,30,40,30,yes,,,,,,,
1,25,45,30,yes,,,,,,,
1,20,50,30,yes,,,,,,,
1,15,55,30,yes,,,,,,,
1,10,60,30,yes,,,,,,,
1,5,65,30,yes,,,,,,,
1,0,70,30,yes,,,,,,,
2,50,45,5,yes,,,,,,,
1.9,50,45,5,yes,,,,,,,
1.8,50,45,5,yes,,,,,,,
1.7,50,45,5,no,,,,,,,
1.6,50,45,5,no,,,,,,,
1.5,50,45,5,no,,,,,,,
1.4,50,45,5,no,,,,,,,
1.3,50,45,5,no,,,,,,,
1.2,50,45,5,no,,,,,,,
1.1,50,45,5,no,,,,,,,
1,50,45,5,no,,,,,,,
2,50,40,10,yes,,,,,,,
1.9,50,40,10,yes,,,,,,,
1.8,50,40,10,yes,,,,,,,
1.7,50,40,10,yes,,,,,,,
1.6,50,40,10,yes,,,,,,,
1.5,50,40,10,yes,,,,,,,
1.4,50,40,10,yes,,,,,,,
1.3,50,40,10,yes,,,,,,,
1.2,50,40,10,no,,,,,,,
1.1,50,40,10,no,,,,,,,
1,50,40,10,no,,,,,,,
1,85,0,15,no,,,,,,,
1,75,10,15,no,,,,,,,
1,65,20,15,no,,,,,,,
1,55,30,15,no,,,,,,,
1,45,40,15,no,,,,,,,
1,35,50,15,no,,,,,,,
1,25,60,15,no,,,,,,,
1,15,70,15,no,,,,,,,
1,5,80,15,no,,,,,,,
